Gender,Nationality,Class_Level,Age_Real,School_Type,Main_Administration,Candidacy_type,Degree,Result
male,Saudi,3,18,Private,Riyadh,Self-Candidacy,700,PASS
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,653,PASS
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,667,PASS
female,Saudi,3,19,Governmental,Hail,Self-Candidacy,633,PASS
male,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,673,PASS
male,Saudi,3,18,Governmental,Unknown,Self-Candidacy,627,PASS
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,547,FAIL
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,613,PASS
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,667,PASS
male,Saudi,3,18,Private,Jawf,Talented-Candidacy,667,PASS
female,Saudi,3,18,Governmental,Hail,Self-Candidacy,640,PASS
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,527,FAIL
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,507,FAIL
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,540,FAIL
male,Saudi,3,18,Private,Riyadh,Self-Candidacy,660,PASS
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,733,PASS
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,680,PASS
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,660,PASS
male,Saudi,3,18,Governmental,Madinah,Self-Candidacy,633,PASS
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,640,PASS
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,620,PASS
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,647,PASS
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,487,FAIL
female,Saudi,3,18,Governmental,Najran,Talented-Candidacy,607,PASS
female,Saudi,3,18,Governmental,Bahah,Talented-Candidacy,680,PASS
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,720,PASS
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,640,PASS
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,653,PASS
male,Saudi,3,18,Governmental,Jawf,Talented-Candidacy,600,FAIL
male,Saudi,3,18,Governmental,Bahah,Self-Candidacy,600,FAIL
female,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,653,PASS
female,Saudi,3,18,Private,Eastern,Self-Candidacy,667,PASS
female,Saudi,3,18,Private,Eastern,Self-Candidacy,647,PASS
male,Saudi,3,18,Private,Riyadh,Talented-Candidacy,453,FAIL
female,Saudi,3,18,Governmental,Jazan,Talented-Candidacy,560,FAIL
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,727,PASS
female,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,613,PASS
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,527,FAIL
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,507,FAIL
male,Saudi,3,18,Governmental,Tabuk,Talented-Candidacy,660,PASS
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,627,PASS
male,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,680,PASS
male,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,627,PASS
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,560,FAIL
male,Saudi,3,18,Governmental,Jawf,Talented-Candidacy,613,PASS
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,640,PASS
male,Saudi,3,18,Governmental,Jazan,Talented-Candidacy,640,PASS
male,Saudi,3,18,Governmental,Bahah,Talented-Candidacy,680,PASS
male,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,727,PASS
female,Saudi,3,18,Private,Mecca,Self-Candidacy,580,FAIL
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,653,PASS
male,Saudi,3,18,Private,Jawf,Talented-Candidacy,507,FAIL
male,Saudi,3,18,Governmental,Jazan,Talented-Candidacy,673,PASS
female,Saudi,3,18,Private,Mecca,Self-Candidacy,440,FAIL
male,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,713,PASS
female,Saudi,3,18,Foreign,Eastern,Self-Candidacy,633,PASS
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,687,PASS
male,Saudi,3,18,Governmental,Madinah,Self-Candidacy,507,FAIL
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,627,PASS
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,600,FAIL
female,Saudi,3,18,Private,Aseer,Self-Candidacy,600,FAIL
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,627,PASS
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,560,FAIL
male,Saudi,3,18,Private,Eastern,Self-Candidacy,680,PASS
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,487,FAIL
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,633,PASS
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,540,FAIL
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,673,PASS
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,693,PASS
female,Saudi,3,18,Governmental,Tabuk,Self-Candidacy,547,FAIL
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,587,FAIL
female,Saudi,3,18,Private,Riyadh,Self-Candidacy,647,PASS
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,600,FAIL
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,660,PASS
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,647,PASS
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,700,PASS
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,613,PASS
female,Saudi,3,18,Governmental,Jazan,Talented-Candidacy,660,PASS
male,Saudi,3,18,Private,Aseer,Self-Candidacy,613,PASS
female,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,587,FAIL
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,347,FAIL
